Reporting Area,MMWR Year,MMWR Week,"Tetanus, Current week","Tetanus, Current week, flag","Tetanus, Previous 52 weeks Med","Tetanus, Previous 52 weeks Med, flag","Tetanus, Previous 52 weeks Max","Tetanus, Previous 52 weeks Max, flag","Tetanus, Cum 2017","Tetanus, Cum 2017, flag","Tetanus, Cum 2016","Tetanus, Cum 2016, flag","Varicella (chickenpox), Current week","Varicella (chickenpox), Current week, flag","Varicella (chickenpox), Previous 52 weeks Med","Varicella (chickenpox), Previous 52 weeks Med, flag","Varicella (chickenpox), Previous 52 weeks Max","Varicella (chickenpox), Previous 52 weeks Max, flag","Varicella (chickenpox), Cum 2017","Varicella (chickenpox), Cum 2017, flag","Varicella (chickenpox), Cum 2016","Varicella (chickenpox), Cum 2016, flag",Location 1,Location 2
CALIFORNIA,2017,1,,-,0,,1,,,-,,-,,-,0,,4,,,-,1,,"CALIFORNIA
(37.640735, -121.002435)",
NEW JERSEY,2017,1,,-,0,,0,,,-,,-,,-,6,,15,,,-,7,,"NEW JERSEY
(40.104655, -74.386686)",
TEXAS,2017,1,,-,0,,1,,,-,,-,1,,22,,49,,1,,6,,"TEXAS
(31.827233, -99.423022)",
ALASKA,2017,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"ALASKA
(64.836661, -147.738891)",
WEST VIRGINIA,2017,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,2,,"WEST VIRGINIA
(38.668501, -80.709421)",
RHODE ISLAND,2017,1,,-,0,,0,,,-,,-,,-,0,,6,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
INDIANA,2017,1,,-,0,,1,,,-,,-,,-,3,,9,,,-,7,,"INDIANA
(39.76845, -86.156212)",
UNITED STATES,2017,2,2,,1,,3,,2,,1,,50,,149,,205,,116,,330,,,
NEW ENGLAND,2017,2,,-,0,,1,,,-,,-,2,,13,,27,,6,,33,,,
MID. ATLANTIC,2017,2,,-,0,,2,,,-,,-,10,,17,,39,,21,,45,,,
NEW YORK CITY,2017,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,2,,-,0,,1,,,-,1,,13,,35,,56,,36,,111,,,
W.N. CENTRAL,2017,2,,-,0,,1,,,-,,-,2,,11,,29,,12,,29,,,
S. ATLANTIC,2017,2,1,,0,,1,,1,,,-,7,,23,,54,,13,,40,,,
E.S. CENTRAL,2017,2,,-,0,,1,,,-,,-,2,,2,,6,,4,,7,,,
W.S. CENTRAL,2017,2,,-,0,,1,,,-,,-,10,,26,,52,,14,,25,,,
MOUNTAIN,2017,2,1,,0,,1,,1,,,-,4,,11,,34,,10,,38,,,
PACIFIC,2017,2,,-,0,,1,,,-,,-,,-,1,,4,,,-,2,,,
AMER. SAMOA,2017,2,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
PUERTO RICO,2017,2,,-,0,,0,,,-,,-,,-,1,,6,,,-,2,,"PUERTO RICO
(18.215692, -66.414655)",
GEORGIA,2017,2,,-,0,,0,,,-,,-,,-,3,,7,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MARYLAND,2017,2,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"MARYLAND
(39.290443, -76.612333)",
MISSOURI,2017,2,,-,0,,0,,,-,,-,2,,2,,8,,2,,10,,"MISSOURI
(38.636168, -92.566292)",
MICHIGAN,2017,2,,-,0,,1,,,-,,-,6,,10,,21,,10,,51,,"MICHIGAN
(44.66399, -84.711206)",
PENNSYLVANIA,2017,2,,-,0,,1,,,-,,-,10,,11,,29,,21,,23,,"PENNSYLVANIA
(40.789676, -77.858055)",
ALASKA,2017,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NORTH DAKOTA,2017,2,,-,0,,0,,,-,,-,,-,1,,21,,,-,5,,"NORTH DAKOTA
(47.475879, -100.121011)",
MAINE,2017,2,,-,0,,1,,,-,,-,1,,4,,8,,3,,6,,"MAINE
(45.252223, -68.986647)",
TENNESSEE,2017,2,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
NEVADA,2017,2,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"NEVADA
(39.491833, -117.070159)",
NORTH CAROLINA,2017,2,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
NEW MEXICO,2017,2,,-,0,,0,,,-,,-,,-,0,,5,,,-,3,,"NEW MEXICO
(34.520396, -106.244402)",
GUAM,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
TEXAS,2017,2,,-,0,,1,,,-,,-,9,,23,,49,,12,,24,,"TEXAS
(31.827233, -99.423022)",
IOWA,2017,2,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
CONNECTICUT,2017,2,,-,0,,0,,,-,,-,,-,2,,6,,1,,9,,"CONNECTICUT
(41.544654, -72.651713)",
INDIANA,2017,2,,-,0,,1,,,-,,-,,-,3,,9,,3,,10,,"INDIANA
(39.76845, -86.156212)",
ILLINOIS,2017,2,,-,0,,1,,,-,1,,,-,8,,20,,3,,27,,"ILLINOIS
(40.477092, -88.993221)",
WYOMING,2017,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,"WYOMING
(43.23558, -108.110518)",
ARIZONA,2017,2,,-,0,,1,,,-,,-,4,,5,,13,,6,,18,,"ARIZONA
(34.869712, -111.760902)",
MASSACHUSETTS,2017,2,,-,0,,0,,,-,,-,,-,4,,16,,,-,14,,"MASSACHUSETTS
(42.268546, -72.085064)",
IDAHO,2017,2,1,,0,,0,,1,,,-,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
OHIO,2017,2,,-,0,,1,,,-,,-,4,,8,,23,,15,,21,,"OHIO
(40.056807, -82.405897)",
DIST. OF COL.,2017,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NEW JERSEY,2017,2,,-,0,,0,,,-,,-,,-,5,,15,,,-,22,,"NEW JERSEY
(40.104655, -74.386686)",
FLORIDA,2017,2,1,,0,,1,,1,,,-,7,,14,,39,,13,,29,,"FLORIDA
(28.915325, -81.922409)",
MONTANA,2017,2,,-,0,,0,,,-,,-,,-,0,,6,,,-,3,,"MONTANA
(47.062617, -109.430168)",
VIRGIN ISL.,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
UTAH,2017,2,,-,0,,0,,,-,,-,,-,4,,18,,4,,13,,"UTAH
(39.359772, -111.584173)",
C.N.M.I.,2017,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
CALIFORNIA,2017,2,,-,0,,1,,,-,,-,,-,0,,4,,,-,2,,"CALIFORNIA
(37.640735, -121.002435)",
MISSISSIPPI,2017,2,,-,0,,1,,,-,,-,,-,0,,2,,1,,,-,"MISSISSIPPI
(32.738663, -89.537312)",
SOUTH CAROLINA,2017,2,,-,0,,0,,,-,,-,,-,1,,6,,,-,4,,"SOUTH CAROLINA
(34.009286, -81.037094)",
COLORADO,2017,2,,-,0,,0,,,-,,-,,-,0,,18,,,-,,-,"COLORADO
(38.841772, -106.132562)",
LOUISIANA,2017,2,,-,0,,0,,,-,,-,,-,0,,5,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
OKLAHOMA,2017,2,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
KANSAS,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
OREGON,2017,2,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
DELAWARE,2017,2,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
WEST VIRGINIA,2017,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,3,,"WEST VIRGINIA
(38.668501, -80.709421)",
KENTUCKY,2017,2,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"KENTUCKY
(37.64591, -84.774043)",
SOUTH DAKOTA,2017,2,,-,0,,0,,,-,,-,,-,0,,4,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
WISCONSIN,2017,2,,-,0,,0,,,-,,-,3,,2,,20,,5,,2,,"WISCONSIN
(44.395526, -89.834513)",
NEW HAMPSHIRE,2017,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
WASHINGTON,2017,2,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
VERMONT,2017,2,,-,0,,0,,,-,,-,1,,0,,6,,2,,3,,"VERMONT
(43.622479, -72.51927)",
ARKANSAS,2017,2,,-,0,,0,,,-,,-,1,,2,,12,,2,,1,,"ARKANSAS
(34.748745, -92.275105)",
MINNESOTA,2017,2,,-,0,,0,,,-,,-,,-,6,,14,,10,,12,,"MINNESOTA
(46.357661, -94.793397)",
NEBRASKA,2017,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
ALABAMA,2017,2,,-,0,,1,,,-,,-,2,,1,,5,,3,,7,,"ALABAMA
(32.839182, -86.631125)",
NEW YORK,2017,2,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
HAWAII,2017,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"HAWAII
(21.30992, -157.858158)",
VIRGINIA,2017,2,,-,0,,1,,,-,,-,,-,4,,12,,,-,4,,"VIRGINIA
(37.542699, -78.45822)",
RHODE ISLAND,2017,2,,-,0,,0,,,-,,-,,-,0,,6,,,-,1,,"RHODE ISLAND
(41.707447, -71.522488)",
UNITED STATES,2017,3,,-,1,,3,,2,,1,,71,,149,,205,,231,,468,,,
NEW ENGLAND,2017,3,,-,0,,1,,,-,,-,7,,14,,27,,18,,49,,,
MID. ATLANTIC,2017,3,,-,0,,2,,,-,,-,3,,16,,39,,26,,60,,,
NEW YORK CITY,2017,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,3,,-,0,,1,,,-,1,,24,,34,,56,,82,,156,,,
W.N. CENTRAL,2017,3,,-,0,,1,,,-,,-,1,,11,,29,,16,,41,,,
S. ATLANTIC,2017,3,,-,0,,1,,1,,,-,12,,23,,54,,28,,64,,,
E.S. CENTRAL,2017,3,,-,0,,1,,,-,,-,2,,2,,6,,7,,9,,,
W.S. CENTRAL,2017,3,,-,0,,1,,,-,,-,8,,26,,52,,28,,37,,,
MOUNTAIN,2017,3,,-,0,,1,,1,,,-,14,,11,,34,,25,,50,,,
PACIFIC,2017,3,,-,0,,1,,,-,,-,,-,1,,4,,1,,2,,,
AMER. SAMOA,2017,3,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
C.N.M.I.,2017,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
ARIZONA,2017,3,,-,0,,1,,,-,,-,2,,5,,13,,9,,26,,"ARIZONA
(34.869712, -111.760902)",
MISSOURI,2017,3,,-,0,,0,,,-,,-,1,,3,,8,,5,,13,,"MISSOURI
(38.636168, -92.566292)",
NORTH DAKOTA,2017,3,,-,0,,0,,,-,,-,,-,0,,21,,,-,6,,"NORTH DAKOTA
(47.475879, -100.121011)",
MICHIGAN,2017,3,,-,0,,1,,,-,,-,4,,10,,21,,24,,72,,"MICHIGAN
(44.66399, -84.711206)",
MINNESOTA,2017,3,,-,0,,0,,,-,,-,,-,6,,14,,11,,18,,"MINNESOTA
(46.357661, -94.793397)",
ALABAMA,2017,3,,-,0,,1,,,-,,-,2,,1,,5,,6,,8,,"ALABAMA
(32.839182, -86.631125)",
WYOMING,2017,3,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,"WYOMING
(43.23558, -108.110518)",
FLORIDA,2017,3,,-,0,,1,,1,,,-,11,,13,,39,,24,,38,,"FLORIDA
(28.915325, -81.922409)",
WASHINGTON,2017,3,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
RHODE ISLAND,2017,3,,-,0,,0,,,-,,-,,-,0,,6,,,-,2,,"RHODE ISLAND
(41.707447, -71.522488)",
DELAWARE,2017,3,,-,0,,0,,,-,,-,,-,0,,3,,,-,2,,"DELAWARE
(39.008676, -75.574561)",
VIRGIN ISL.,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
PUERTO RICO,2017,3,,-,0,,0,,,-,,-,,-,1,,6,,,-,2,,"PUERTO RICO
(18.215692, -66.414655)",
SOUTH CAROLINA,2017,3,,-,0,,0,,,-,,-,,-,1,,6,,,-,4,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MAINE,2017,3,,-,0,,1,,,-,,-,6,,4,,8,,9,,9,,"MAINE
(45.252223, -68.986647)",
CALIFORNIA,2017,3,,-,0,,1,,,-,,-,,-,0,,4,,,-,2,,"CALIFORNIA
(37.640735, -121.002435)",
UTAH,2017,3,,-,0,,0,,,-,,-,,-,3,,18,,4,,17,,"UTAH
(39.359772, -111.584173)",
PENNSYLVANIA,2017,3,,-,0,,1,,,-,,-,3,,11,,29,,26,,31,,"PENNSYLVANIA
(40.789676, -77.858055)",
ALASKA,2017,3,,-,0,,1,,,-,,-,,-,0,,2,,1,,,-,"ALASKA
(64.836661, -147.738891)",
IOWA,2017,3,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
MASSACHUSETTS,2017,3,,-,0,,0,,,-,,-,,-,4,,16,,2,,21,,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW HAMPSHIRE,2017,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
OKLAHOMA,2017,3,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
NEVADA,2017,3,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"NEVADA
(39.491833, -117.070159)",
OHIO,2017,3,,-,0,,1,,,-,,-,18,,8,,23,,33,,30,,"OHIO
(40.056807, -82.405897)",
CONNECTICUT,2017,3,,-,0,,0,,,-,,-,1,,2,,6,,4,,13,,"CONNECTICUT
(41.544654, -72.651713)",
ILLINOIS,2017,3,,-,0,,0,,,-,1,,,-,8,,20,,5,,36,,"ILLINOIS
(40.477092, -88.993221)",
MISSISSIPPI,2017,3,,-,0,,1,,,-,,-,,-,0,,2,,1,,1,,"MISSISSIPPI
(32.738663, -89.537312)",
GUAM,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MONTANA,2017,3,,-,0,,0,,,-,,-,,-,0,,6,,,-,3,,"MONTANA
(47.062617, -109.430168)",
DIST. OF COL.,2017,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
VIRGINIA,2017,3,,-,0,,1,,,-,,-,1,,4,,12,,1,,12,,"VIRGINIA
(37.542699, -78.45822)",
INDIANA,2017,3,,-,0,,1,,,-,,-,,-,4,,9,,9,,14,,"INDIANA
(39.76845, -86.156212)",
NORTH CAROLINA,2017,3,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
HAWAII,2017,3,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,"HAWAII
(21.30992, -157.858158)",
WISCONSIN,2017,3,,-,0,,0,,,-,,-,2,,2,,20,,11,,4,,"WISCONSIN
(44.395526, -89.834513)",
TENNESSEE,2017,3,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
TEXAS,2017,3,,-,0,,1,,,-,,-,8,,23,,49,,24,,35,,"TEXAS
(31.827233, -99.423022)",
KANSAS,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
KENTUCKY,2017,3,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"KENTUCKY
(37.64591, -84.774043)",
GEORGIA,2017,3,,-,0,,0,,,-,,-,,-,3,,7,,3,,5,,"GEORGIA
(32.836038, -83.631709)",
VERMONT,2017,3,,-,0,,0,,,-,,-,,-,0,,6,,3,,4,,"VERMONT
(43.622479, -72.51927)",
NEBRASKA,2017,3,,-,0,,0,,,-,,-,,-,0,,2,,,-,3,,"NEBRASKA
(41.640503, -99.367122)",
ARKANSAS,2017,3,,-,0,,0,,,-,,-,,-,2,,12,,3,,2,,"ARKANSAS
(34.748745, -92.275105)",
NEW YORK,2017,3,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
COLORADO,2017,3,,-,0,,0,,,-,,-,12,,0,,18,,12,,,-,"COLORADO
(38.841772, -106.132562)",
IDAHO,2017,3,,-,0,,1,,1,,,-,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
OREGON,2017,3,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
SOUTH DAKOTA,2017,3,,-,0,,0,,,-,,-,,-,0,,4,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
WEST VIRGINIA,2017,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,3,,"WEST VIRGINIA
(38.668501, -80.709421)",
NEW MEXICO,2017,3,,-,0,,0,,,-,,-,,-,0,,5,,,-,3,,"NEW MEXICO
(34.520396, -106.244402)",
NEW JERSEY,2017,3,,-,0,,0,,,-,,-,,-,5,,15,,,-,29,,"NEW JERSEY
(40.104655, -74.386686)",
LOUISIANA,2017,3,,-,0,,0,,,-,,-,,-,0,,5,,1,,,-,"LOUISIANA
(31.2931, -92.463284)",
MARYLAND,2017,3,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"MARYLAND
(39.290443, -76.612333)",
UNITED STATES,2017,4,,-,1,,3,,2,,1,,75,,149,,205,,359,,664,,,
NEW ENGLAND,2017,4,,-,0,,1,,,-,,-,8,,14,,27,,39,,58,,,
MID. ATLANTIC,2017,4,,-,0,,2,,,-,,-,9,,16,,39,,40,,82,,,
NEW YORK CITY,2017,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,4,,-,0,,1,,,-,1,,19,,33,,56,,108,,197,,,
W.N. CENTRAL,2017,4,,-,0,,1,,,-,,-,3,,11,,29,,23,,49,,,
S. ATLANTIC,2017,4,,-,0,,1,,1,,,-,23,,23,,54,,53,,106,,,
E.S. CENTRAL,2017,4,,-,0,,1,,,-,,-,3,,2,,6,,11,,14,,,
W.S. CENTRAL,2017,4,,-,0,,1,,,-,,-,6,,26,,56,,47,,80,,,
MOUNTAIN,2017,4,,-,0,,1,,1,,,-,4,,11,,34,,36,,75,,,
PACIFIC,2017,4,,-,0,,1,,,-,,-,,-,1,,4,,2,,3,,,
AMER. SAMOA,2017,4,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
COLORADO,2017,4,,-,0,,0,,,-,,-,,-,0,,18,,12,,,-,"COLORADO
(38.841772, -106.132562)",
TEXAS,2017,4,,-,0,,1,,,-,,-,6,,23,,53,,43,,65,,"TEXAS
(31.827233, -99.423022)",
VIRGIN ISL.,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
FLORIDA,2017,4,,-,0,,1,,1,,,-,21,,13,,39,,45,,73,,"FLORIDA
(28.915325, -81.922409)",
WISCONSIN,2017,4,,-,0,,0,,,-,,-,5,,2,,20,,15,,4,,"WISCONSIN
(44.395526, -89.834513)",
KENTUCKY,2017,4,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"KENTUCKY
(37.64591, -84.774043)",
CALIFORNIA,2017,4,,-,0,,1,,,-,,-,,-,0,,4,,1,,2,,"CALIFORNIA
(37.640735, -121.002435)",
ARIZONA,2017,4,,-,0,,1,,,-,,-,4,,5,,13,,14,,31,,"ARIZONA
(34.869712, -111.760902)",
IOWA,2017,4,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
GUAM,2017,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
